,Set number,Name,Set type,Theme,Theme group,Subtheme,Year released,Pieces,Minifigs,Price,Age range
93,200-3,"LEGO Town Plan Board, Plastic",Normal,SYSTEM,Basic,TOWN PLAN,1957,1,null,0,null
94,214-4,Windows and Doors Retailer Pack,Collection,SYSTEM,Basic,SUPPLEMENTAL,1957,0,null,0,null
95,225-1,1 x 6 and 1 x 8 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1957,9,null,0,null
96,236-2,Garage and Van,Normal,SYSTEM,Basic,TOWN PLAN,1957,69,null,0,null
97,283-1,"Sloping Ridge and Valley Bricks, Red",Normal,SYSTEM,Basic,SUPPLEMENTAL,1957,20,null,0,null
98,283-2,"Sloping Ridge and Valley Bricks, Blue",Normal,SYSTEM,Basic,SUPPLEMENTAL,1957,20,null,0,null
99,1223-3,2 x 2 Curved Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1957,20,null,0,null
100,1231-4,Windows and Doors Retailer Pack,Normal,SYSTEM,Basic,SUPPLEMENTAL,1957,null,null,0,null
101,1233-2,Light Masts,Normal,SYSTEM,Basic,SUPPLEMENTAL,1957,4,null,0,null
102,1234-2,Letter Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1957,null,null,0,null
103,1242-2,International Flags,Normal,SYSTEM,Basic,SUPPLEMENTAL,1957,5,null,0,null
104,1245-2,Lighting Device Pack,Normal,SYSTEM,Basic,SUPPLEMENTAL,1957,3,null,0,null
105,1260-2,1:87 Twenty Four Models,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1957,24,null,0,null
106,1306-1,VW Garage,Normal,SYSTEM,Basic,TOWN PLAN,1957,45,null,0,null
107,1307-1,VW Auto Showroom,Normal,SYSTEM,Basic,TOWN PLAN,1957,51,null,0,null
108,1308-1,Fire Station,Normal,SYSTEM,Basic,TOWN PLAN,1957,111,null,0,null
109,1309-1,Church,Normal,SYSTEM,Basic,TOWN PLAN,1957,150,null,0,null
110,1200M-1,LEGO Town Plan Wooden Board,Other,SYSTEM,Basic,TOWN PLAN,1957,1,null,0,null
111,1242D-1,5 Danish Flags,Other,SYSTEM,Basic,SUPPLEMENTAL,1957,5,null,0,null
112,200A-1,LEGO Town Plan Wooden Board,Other,SYSTEM,Basic,TOWN PLAN,1957,1,null,0,null
113,200M-1,LEGO Town Plan Wooden Board,Other,SYSTEM,Basic,TOWN PLAN,1957,1,null,0,null
114,700_0-2,Canister Set (Switzerland),Other,SYSTEM,Basic,null,1957,196,null,0,null
115,700_1-3,Canister Set (Switzerland),Other,SYSTEM,Basic,null,1957,null,null,0,null
116,700_3A-3,Canister Set (Switzerland),Other,SYSTEM,Basic,null,1957,96,null,0,null
117,700_6-3,Canister Set (Switzerland),Other,SYSTEM,Basic,null,1957,null,null,0,null
118,210-2,Small Store Set,Normal,SYSTEM,Basic,TOWN PLAN,1958,30,null,0,null
119,211-2,Small House Set,Normal,SYSTEM,Basic,TOWN PLAN,1958,20,null,0,null
120,212-1,Small House - Left Set,Normal,SYSTEM,Basic,TOWN PLAN,1958,21,null,0,null
121,213-2,Small House - Right Set,Normal,SYSTEM,Basic,TOWN PLAN,1958,21,null,0,null
122,214-2,"Ten Windows and Doors, Red",Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,10,null,0,null
123,214-3,"Ten Windows and Doors, White",Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,10,null,0,null
124,215-2,2 x 8 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,6,null,0,null
125,216-1,2 x 10 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,5,null,0,null
126,217-2,4 x 4 Corner Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,5,null,0,null
127,218-2,2 x 4 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,13,null,0,null
128,219-1,2 x 3 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,15,null,0,null
129,220-1,2 x 2 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,20,null,0,null
130,221-2,1 x 2 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,26,null,0,null
131,222-2,1 x 1 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,40,null,0,null
132,223-2,1 x 1 Round Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,40,null,0,null
133,224-3,2 x 2 Curved Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,20,null,0,null
134,226-1,8 Named Beams,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,8,null,0,null
135,227-1,4 x 8 Curved & 2 x 8 Plates,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,5,null,0,null
136,228-1,4 x 8 & 2 x 8 Plates,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,5,null,0,null
137,229-1,6 x 8 & 2 x 8 Plates,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,4,null,0,null
138,230-2,Six Trees and Bushes,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,6,null,0,null
139,232-2,16 Road Signs,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,16,null,0,null
140,233-1,Light Masts,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,4,null,0,null
141,234-1,Letter Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,50,null,0,null
142,235-1,Garage Plate and Door (White Base and Door Frame),Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,5,null,0,null
143,242-1,International Flags,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,5,null,0,null
144,242-2,5 Danish Flags,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,5,null,0,null
145,245-1,Lighting Device Pack,Normal,SYSTEM,Basic,SUPPLEMENTAL,1958,3,null,0,null
146,253-1,1:87 Bedford Flatbed Truck,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,1,null,0,null
147,254-2,1:87 Bedford Flatbed Trailer,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,1,null,0,null
148,255-1,1:87 Bedford Fire Engine,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,1,null,0,null
149,256-2,1:87 Bedford Tow Truck,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,1,null,0,null
150,257-1,1:87 Bedford Delivery Truck,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,1,null,0,null
151,258-2,1:87 VW Van,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,1,null,0,null
152,259-1,1:87 VW Pickup,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,1,null,0,null
153,260-2,1:87 VW Beetle,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,1,null,0,null
154,261-2,1:87 VW Beetle + Showroom,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,4,null,0,null
155,270-1,5 Cyclists / Motorcyclists,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,5,null,0,null
156,271-2,Traffic Police Set,Normal,SYSTEM,Basic,TOWN PLAN,1958,6,null,0,null
157,306-2,VW Garage,Normal,SYSTEM,Basic,TOWN PLAN,1958,45,null,0,null
158,307-2,VW Auto Showroom,Normal,SYSTEM,Basic,TOWN PLAN,1958,51,null,0,null
159,308-3,Fire Station,Normal,SYSTEM,Basic,TOWN PLAN,1958,111,null,0,null
160,309-2,Church,Normal,SYSTEM,Basic,TOWN PLAN,1958,149,null,0,null
161,310-5,ESSO Filling Station,Normal,SYSTEM,Basic,TOWN PLAN,1958,98,null,0,null
162,700-2,"Wooden Storage Box, Empty",Normal,SYSTEM,Basic,WOODEN BOX SET,1958,null,null,0,null
163,700-13,Wooden Storage Box with Contents,Normal,SYSTEM,Basic,WOODEN BOX SET,1958,493,null,0,null
164,1234-4,Lego Mursten System i Leg 1 x 1 Letter Bricks,Normal,SYSTEM,Basic,BASIC SET,1958,null,null,0,null
165,1261-2,1:87 VW Beetle,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1958,4,null,0,null
166,242I-1,International Flags,Other,SYSTEM,Basic,SUPPLEMENTAL,1958,5,null,0,null
167,BIL01-1,LEGO Complimentray Pack,Other,PROMOTIONAL,Miscellaneous,null,1958,17,null,0,null
168,LEGOBRICKS-1,Lego Bricks Box,Other,SYSTEM,Basic,BASIC SET,1958,2,null,0,null
169,200-4,"LEGO Town Plan Board, Continental European Cardboard Version",Normal,SYSTEM,Basic,TOWN PLAN,1959,1,null,0,null
170,280-1,"Sloping Roof Bricks, Red",Normal,SYSTEM,Basic,SUPPLEMENTAL,1959,14,null,0,null
171,280-2,"Sloping Roof Bricks, Blue",Normal,SYSTEM,Basic,SUPPLEMENTAL,1959,14,null,0,null
172,281-1,"1 x 2 and 3 x 2 Sloping Bricks, Red",Normal,SYSTEM,Basic,SUPPLEMENTAL,1959,21,null,0,null
173,281-2,"1 x 2 and 3 x 2 Sloping Bricks, Blue",Normal,SYSTEM,Basic,SUPPLEMENTAL,1959,21,null,0,null
174,282-1,"2 x 2 Sloping Roof Bricks, Red",Normal,SYSTEM,Basic,SUPPLEMENTAL,1959,22,null,0,null
175,282-2,"2 x 2 Sloping Roof Bricks, Blue",Normal,SYSTEM,Basic,SUPPLEMENTAL,1959,22,null,0,null
176,VWKIT-1,Volkswagen Kit,Other,SYSTEM,Basic,BASIC SET,1959,22,null,0,null
177,237-1,Number Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1960,50,null,0,null
178,700K-1,Kindergarten LEGO Set,Other,DACTA,Educational,CLASSIC,1960,475,null,0,null
179,215-3,2 X 8 Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,9,null,0.50,3 - 12
180,216-2,2 X 10 Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,8,null,0,3 - 12
181,217-3,4 x 4 Corner Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,10,null,0.50,3 - 12
182,218-3,2 x 4 Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,20,null,0.50,3 - 12
183,219-2,2 X 3 Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,24,null,0.50,3 - 12
184,220-2,2 X 2 Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,33,null,0.50,3 - 12
185,221-3,1 X 2 Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,45,null,0.50,3 - 12
186,222-3,1 x 1 Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,40,null,0.50,3 - 12
187,223-3,1 x 1 Round Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,62,null,0.50,null
188,224-2,Bricks Curved,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,33,null,0.50,3 - 12
189,226-3,1 X 8 & 1 X 6 Named Beams,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,10,null,0.50,3 - 12
190,228-2,4 X 8 Plates,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,10,null,0.50,3 - 12
191,230-3,Trees and Bushes,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,12,null,0.50,3 - 12
192,231-3,Esso Stations (Pumps and Sign),Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,2,null,0.50,3 - 12
193,232-3,Road Signs,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,15,null,0.50,3 - 12
194,233-2,Street Lamps,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,9,null,0.50,3 - 12
195,234-2,Lettered Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,35,null,0.50,3 - 12
196,235-3,Garage Plate and Door (White Base and Door Frame),Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,3,null,0.50,3 - 12
197,237-2,Numbered Bricks,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,35,null,0.50,3 - 12
198,242-3,International Flags,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,7,null,0.50,3 - 12
199,245-3,Lighting Device Pack,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,3,null,0.50,null
200,246-1,LEGO Town Plan Board,Normal,SAMSONITE,Vintage,TOWN PLAN,1961,1,null,1.50,null
201,262-1,1:87 Opel Rekord with Garage,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1961,3,null,0,null
202,263-2,1:87 Ford Taunus 17M de Luxe with Garage,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1961,3,null,0,null
203,264-2,1:87 Mercedes 220 with Garage,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1961,3,null,0,null
204,265-2,1:87 Karmann Ghia with Garage,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1961,3,null,0,null
205,311-4,Airplanes,Normal,SYSTEM,Basic,VEHICLE,1961,79,null,0,null
206,312-4,Boats,Normal,SYSTEM,Basic,VEHICLE,1961,107,null,0,null
207,400-2,Small Wheels with Axles,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,12,null,0.75,3 - 12
208,518-2,2 X 4 Plate (Flat Roof Bricks with 8 Studs),Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,24,null,0.50,3 - 12
209,519-3,2 X 3 Plate (Flat Roof Bricks with 6 Studs),Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,30,null,0.50,3 - 12
210,520-4,2 X 2 Plate (Flat Roof Bricks with 4 Studs),Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,40,null,0.50,3 - 12
211,700-3,10 X 20 Large Base Plate,Normal,SAMSONITE,Vintage,SUPPLEMENTAL,1961,2,null,0.50,null
212,702-2,Small Basic Set,Normal,SAMSONITE,Vintage,BASIC SET,1961,109,null,1.95,null
213,703-2,Small Basic Set,Normal,SAMSONITE,Vintage,BASIC SET,1961,null,null,2.95,null
214,705-2,Small Basic Set (Flat Box),Normal,SAMSONITE,Vintage,BASIC SET,1961,null,null,4.95,null
215,708-2,Medium Basic Set (Flat Box),Normal,SAMSONITE,Vintage,BASIC SET,1961,null,null,7.95,null
216,711-2,Large Basic Set (Flat Box),Normal,SAMSONITE,Vintage,BASIC SET,1961,null,null,10.95,null
217,717-1,Junior Constructor,Normal,SAMSONITE,Vintage,BASIC SET,1961,510,null,16.95,null
218,725-3,Town Plan,Normal,SAMSONITE,Vintage,TOWN PLAN,1961,711,null,25.00,null
219,810-2,Town Plan - Continental European,Normal,SYSTEM,Basic,TOWN PLAN,1961,760,null,0,null
220,214_1-1,1 x 6 x 3 Window with Frame,Other,SYSTEM,Basic,SUPPLEMENTAL,1961,null,null,0,null
221,214_1-2,1 x 6 x 3 Window with Frame,Other,SAMSONITE,Vintage,SUPPLEMENTAL,1961,6,null,0.50,3 - 12
222,214_10-1,"1 x 2 x 4 Glass Door in Frame, Left",Other,SYSTEM,Basic,SUPPLEMENTAL,1961,null,null,0,null
223,214_10-2,1 x 2 x 4 Glass Door in Frame,Other,SAMSONITE,Vintage,SUPPLEMENTAL,1961,13,null,0.50,3 - 12
224,214_2-1,1 x 6 x 2 Triple-Pane Window in Frame,Other,SYSTEM,Basic,SUPPLEMENTAL,1961,null,null,0,null
225,214_2-2,1 x 6 x 2 Triple-Pane Window in Frame,Other,SAMSONITE,Vintage,SUPPLEMENTAL,1961,8,null,0.50,3 - 12
226,214_3-1,1 x 6 x 2 Double-Pane Window in Frame w/Shutters,Other,SYSTEM,Basic,SUPPLEMENTAL,1961,null,null,0,null
227,214_3-2,1 x 6 x 2 Double-Pane Window in Frame w/Shutters,Other,SAMSONITE,Vintage,SUPPLEMENTAL,1961,8,null,0.50,3 - 12
228,214_4-1,1 x 4 x 2 Window in Frame,Other,SYSTEM,Basic,SUPPLEMENTAL,1961,null,null,0,null
229,214_4-2,1 x 4 x 2 Window in Frame,Other,SAMSONITE,Vintage,SUPPLEMENTAL,1961,9,null,0.50,3 - 12
230,214_5-1,1 x 3 x 2 Window in Frame,Other,SYSTEM,Basic,SUPPLEMENTAL,1961,null,null,0,null
231,214_5-2,1 x 3 x 2 Window in Frame,Other,SAMSONITE,Vintage,SUPPLEMENTAL,1961,12,null,0.50,3 - 12
232,214_6-1,1 x 2 x 2 Window in Frame,Other,SYSTEM,Basic,SUPPLEMENTAL,1961,null,null,0,null
233,214_6-2,1 x 2 x 2 Window in Frame,Other,SAMSONITE,Vintage,SUPPLEMENTAL,1961,15,null,0.50,3 - 12
234,214_7-1,1 x 1 x 2 Window Frame,Other,SYSTEM,Basic,SUPPLEMENTAL,1961,null,null,0,null
235,214_7-2,1 x 1 x 2 Window Frame,Other,SAMSONITE,Vintage,SUPPLEMENTAL,1961,19,null,0.50,3 - 12
